1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	VALIDATION	ORIGIN	CLUSTER	TABLE	CELL	NAME_COL1	NAME_COL2	ENTITY_COL1	PREDICATE	ENTITY_COL2
0	3	185	3	61,6666666667	185	-1	1	181	181	1	1	181	0,0055248619	181	181	6,96974492917748E-05	0,0001068068	7,46152715533408E-05	1,4314336278	1	1	1	0	17	0	1	0,0769230769	0	0,0769230769	19	0,1027027027	19	0,1049723757	19	0,1049723757	1	1	1	1	0	0	-1	1	0	0	10	255	23	2	4854	4902	316	4369	4899	4808	25	25	23	7809	0,0051996672	0,0029453195	608	1	f	608	834701.3	21:-1:1	protag_article@3	film@3	https://en.wikipedia.org/wiki/Harvey_Weinstein :Q531599	P1431-1 :executive producer@en	https://en.wikipedia.org/wiki/Smoke_(film) :Q653447
0	1	14	5	2,8	78	1	0	14	14	1	4	3	1,3333333333	14	4	0,0074077839	0,0100515036	0,0135108044	0,7439604139	1	1	1	21	10	1	0	0	0	0	14	1	14	1	4	1	0	1	1	1	7	0	1	1	1	1	484	12798	1	2	936	936	21	10	824	19	824	19	824	936	1	0,8803418803	2801	1	f	2801	659518.1	4:1:0	seri_epoch@3	system_period@3	https://en.wikipedia.org/wiki/Late_Cretaceous :Q338199	P527-1 :has part@en	https://en.wikipedia.org/wiki/Cretaceous :Q44626
0	2	19	8	2,375	326	-1	1	19	19	1	1	5	0,2	19	5	0,017715318	1,90898059169574E-05	0,0098697386	0,0019341754	1	1	1	0	101	0	0	0	0	0	15	0,7894736842	15	0,7894736842	1	0,2	1	1	1	1	0	8	-1	1	0	0	245747	14	1	12394	11104	11104	377	42	11104	1921	324	18	324	11106	0,0093701197	0,0291734198	589	1	f	589	359627.2	4:-1:1	protag_article@3	nat@3	https://en.wikipedia.org/wiki/Link%C3%B6pings_HC :Q1422769	P495 :country of origin@en	https://en.wikipedia.org/wiki/Sweden :Q34
0	1	5	5	1	8	1	3	2	2	1	2	2	1	2	2	0,0044733924	1,01346338048836E-05	0,002519432	0,0040225867	1	1	1	18	11	1	0	0	0,4	0,4	2	0,4	2	1	2	1	0	1	1	1	0	0	1	1	0	0	75745	18	1	7959	1474	1492	1328	33	1494	1364	1330	1205	1325	15872	0,883431085	0,0834803427	409	1	f	409	702776.1	1:1:3	film@3	languag@3	https://en.wikipedia.org/wiki/Fugly_(2014_film) :Q16248428	P364 :original language of work@en	https://en.wikipedia.org/wiki/Hindi :Q1568
0	1	9	4	2,25	9	-1	0	9	9	1	1	9	0,1111111111	9	9	0,0016307587	0,0213968767	0,0120211059	1,779942444	1	1	1	0	11	0	0	0	0	0	9	1	9	1	9	1	1	1	1	1	0	0	-1	1	0	0	26	859	9	2	2834	2837	257	2801	2837	2836	2762	2762	2762	2837	0,9739069111	0,9735636235	972	1	f	972	730494.1	7:-1:0	protag_article@3	commune@3	https://en.wikipedia.org/wiki/Canton_of_Volonne :Q1308578	P150 :contains administrative territorial entity@en	https://en.wikipedia.org/wiki/Salignac,_Alpes-de-Haute-Provence :Q279466
0	1	3	4	0,75	13	2	1	2	2	1	2	2	1	2	2	0,0009934781	0,0045668757	0,0026388426	1,7306358457	1	1	1	10	17	0	1	1	0	1	2	0,6666666667	2	1	2	1	1	1	1	1	0	0	1	1	0	0	41	675	27	1	2656	2600	1469	2450	2657	2512	2401	2263	2081	5282	0,9008757962	0,3939795532	969	1	f	969	74752.1	1:2:1	director@3	titl@3	https://en.wikipedia.org/wiki/Francesco_Maselli :Q53048	P57-1 :director@en	https://en.wikipedia.org/wiki/Gli_sbandati :Q3108858
0	1	11	4	2,75	66	3	2	11	11	1	11	4	2,75	11	11	0,0055794217	5,46047080004503E-06	0,0031061523	0,0017579533	1	1	1	23	10	0	0	0,1818181818	0,1875	0,1875	9	0,8181818182	9	0,8181818182	9	0,8181818182	1	1	1	1	0	0	1	1	0	0	58817	6	1	44838	605093	406086	80362	21	605095	97620	299275	60646	299267	549029	0,6212456464	0,5450841395	2	1	f	2	616772.1	4:3:2	player@3	posit@3	https://en.wikipedia.org/wiki/Ren%C3%A9_Gartler :Q874163	P413 :position played on team / speciality@en	https://en.wikipedia.org/wiki/Forward_(association_football) :Q280658
0	82	133	8	16,625	295	1	2	81	81	1	81	8	10,125	81	81	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	11	25	0	0	0	0,2222222222	0,2222222222	29	0,2180451128	29	0,3580246914	29	0,3580246914	0	1	1	1	0	0	1	1	0	0	1966	32	7	52	947	950	623	33	950	755	122	94	122	4147	0,1245033113	0,029418857	6060	1	f	6060	592956.82	6:1:2	player@3	team@3	https://en.wikipedia.org/wiki/Andr%C3%A9_Pretorius :Q546277	P54 :member of sports team@en	https://en.wikipedia.org/wiki/Golden_Lions :Q1534021
0	6	17	4	4,25	102	3	1	17	17	1	17	4	4,25	17	17	0,0612012844	4,87729251860022E-05	0,0354855256	0,0013744456	1	1	1	23	53	0	0	0	0	0	1	0,0588235294	1	0,0588235294	1	0,0588235294	1	1	1	1	0	0	1	1	0	0	372150	8	1	12010	606565	407894	81302	235	606211	100462	306917	57963	249560	549029	0,5769644244	0,4545479383	2	1	f	2	92258.6	15:3:1	player@3	spancol@4	https://en.wikipedia.org/wiki/Brian_O%27Callaghan :Q4964890	P27 :country of citizenship@en	https://en.wikipedia.org/wiki/Republic_of_Ireland :Q27
0	4	12	4	3	120	1	2	12	12	1	4	5	0,8	12	6	5,67888963204683E-06	5,67888963204683E-06	7,30439225033981E-05	0,0777462305	1	1	1	68	68	0	0	0	0	0	8	0,6666666667	8	0,6666666667	4	0,6666666667	1	1	1	1	14	14	1	1	1	1	195	195	87	80	117342	111074	27797	30499	359680	225140	11656	1302	2860	75602	0,0057830683	0,037829687	14	1	f	14	557855.4	5:1:2	gold@3	silver@3	https://en.wikipedia.org/wiki/Italy :Q38	P530-1 :diplomatic relation@en	https://en.wikipedia.org/wiki/United_Kingdom :Q145
0	1	14	9	1,5555555556	47	-1	1	11	11	1	1	2	0,5	11	2	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	0	9	0	0	0	0	0	11	0,7857142857	11	1	2	1	1	1	1	1	0	0	-1	1	0	1	1966	32	2	142	4288	4288	694	355	4288	1665	3494	1222	3494	6275	0,7339339339	0,556812749	323	1	f	323	540250.1	3:-1:1	protag_article@3	club_perform**club@3	https://en.wikipedia.org/wiki/Selim_G%C3%BCnd%C3%BCz :Q17484164	P54 :member of sports team@en	https://en.wikipedia.org/wiki/VfL_Bochum_II :Q7924284
